supplier_id,name,country,parent_supplier_id,ownership_pct,revenue,reliability_score,capacity,risk_score,last_updated
36,Superior Components 36,China,23.0,77.45,462956147.46,0.45,22299,0.88,2025-07-12 20:33:21.676340
37,Dynamic Manufacturing 37,USA,12.0,47.05,335283657.51,0.78,33527,0.31,2024-10-16 20:33:21.677410
38,Advanced Materials Co 38,Vietnam,3.0,,408476716.19,0.6,41001,0.76,2025-06-16 20:33:21.677410
39,Superior Components 39,USA,13.0,87.79,483477662.92,0.48,85080,0.51,2024-10-28 20:33:21.677410
40,Modern Manufacturing 40,Mexico,,33.51,290714277.14,0.94,6014,0.19,2025-03-02 20:33:21.677410
41,Premium Components Ltd 41,Mexico,,61.89,128106530.56,0.76,1221,0.52,2025-01-08 20:33:21.677410
42,Elite Manufacturing 42,Mexico,,92.87,311954549.56,0.73,17334,0.68,2025-05-10 20:33:21.677410
43,Trusted Suppliers LLC 43,India,27.0,36.61,64516611.73,0.57,50695,0.64,2025-07-13 20:33:21.677410
44,Optimal Components Ltd 44,Italy,20.0,10.04,144169944.72,0.58,77019,0.59,2025-04-29 20:33:21.677410
45,Innovative Parts Inc 45,Thailand,,81.44,479956169.84,0.78,87356,0.17,2025-01-20 20:33:21.677410
46,Optimal Components Ltd 46,Mexico,,30.22,100365836.43,0.32,33092,0.89,2024-12-02 20:33:21.677410
47,Precision Components Inc 47,Thailand,,44.56,200426778.58,0.4,91128,0.1,2025-08-17 20:33:21.677410
48,Dynamic Manufacturing 48,Japan,12.0,,125349941.55,0.85,60829,0.21,2025-02-15 20:33:21.677410
49,Trusted Suppliers LLC 49,Brazil,39.0,90.23,306713509.06,0.77,67162,0.44,2025-01-03 20:33:21.677410
50,Innovative Parts Inc 50,Germany,48.0,77.66,420091581.03,0.48,69327,0.49,2025-06-10 20:33:21.677410
